Title,Year,Full_Title,Rating,Recently_Added,Order
Drunken Master,1978,Drunken Master (1978),nan,0,4180
The King of Kong: A Fistful of Quarters,2007,The King of Kong: A Fistful of Quarters (2007),nan,0,4181
St. Elmo's Fire,1985,St. Elmo's Fire (1985),nan,0,4182
The Merchant of Venice,2004,The Merchant of Venice (2004),nan,0,4183
Thesis,1996,Thesis (1996),nan,0,4184
If Beale Street Could Talk,2018,If Beale Street Could Talk (2018),nan,0,4185
Nowhere Boy,2009,Nowhere Boy (2009),nan,0,4186
Burning,2018,Burning (2018),nan,0,4187
Kill Your Darlings,2013,Kill Your Darlings (2013),nan,0,4188
Birth,2004,Birth (2004),nan,0,4189
Mickey Blue Eyes,1999,Mickey Blue Eyes (1999),nan,0,4190
The 33,2015,The 33 (2015),nan,0,4191
The Verdict,1982,The Verdict (1982),nan,0,4192
Love & Mercy,2014,Love & Mercy (2014),nan,0,4193
Maniac,2012,Maniac (2012),nan,0,4194
The Amityville Horror,1979,The Amityville Horror (1979),nan,0,4195
Big Fat Liar,2002,Big Fat Liar (2002),nan,0,4196
Bully,2001,Bully (2001),nan,0,4197
A Life Less Ordinary,1997,A Life Less Ordinary (1997),nan,0,4198
The Butterfly Effect 2,2006,The Butterfly Effect 2 (2006),nan,0,4199
The Tournament,2009,The Tournament (2009),nan,0,4200
BloodRayne,2005,BloodRayne (2005),nan,0,4201
Orgazmo,1997,Orgazmo (1997),nan,0,4202
The Holy Mountain,1973,The Holy Mountain (1973),nan,0,4203
Death Wish,1974,Death Wish (1974),nan,0,4204
American Animals,2018,American Animals (2018),nan,0,4205
A Bittersweet Life,2005,A Bittersweet Life (2005),nan,0,4206
It Could Happen to You,1994,It Could Happen to You (1994),nan,0,4207
The Last Legion,2007,The Last Legion (2007),nan,0,4208
Confessions,2010,Confessions (2010),nan,0,4209
Hit and Run,2012,Hit and Run (2012),nan,0,4210
Personal Shopper,2016,Personal Shopper (2016),nan,0,4211
Hair,1979,Hair (1979),nan,0,4212
Fantasia 2000,1999,Fantasia 2000 (1999),nan,0,4213
Dear Zindagi,2016,Dear Zindagi (2016),nan,0,4214
Maria Full of Grace,2004,Maria Full of Grace (2004),nan,0,4215
Muriel's Wedding,1994,Muriel's Wedding (1994),nan,0,4216
No Way Out,1987,No Way Out (1987),nan,0,4217
"McFarland, USA",2015,"McFarland, USA (2015)",nan,0,4218
The Dirt,2019,The Dirt (2019),nan,0,4219
Koyaanisqatsi,1982,Koyaanisqatsi (1982),nan,0,4220
The Air I Breathe,2007,The Air I Breathe (2007),nan,0,4221
Cyrus,2010,Cyrus (2010),nan,0,4222
In the Land of Blood and Honey,2011,In the Land of Blood and Honey (2011),nan,0,4223
Brief Encounter,1945,Brief Encounter (1945),nan,0,4224
The Messenger,2009,The Messenger (2009),nan,0,4225
Bandidas,2006,Bandidas (2006),nan,0,4226
Redirected,2014,Redirected (2014),nan,0,4227
102 Dalmatians,2000,102 Dalmatians (2000),nan,0,4228
Crimea,2017,Crimea (2017),nan,0,4229
Black Sea,2014,Black Sea (2014),nan,0,4230
Hang 'Em High,1968,Hang 'Em High (1968),nan,0,4231
Brimstone,2016,Brimstone (2016),nan,0,4232
Bitter Moon,1992,Bitter Moon (1992),nan,0,4233
Cold in July,2014,Cold in July (2014),nan,0,4234
Adam,2009,Adam (2009),nan,0,4235
Women on the Verge of a Nervous Breakdown,1988,Women on the Verge of a Nervous Breakdown (1988),nan,0,4236
The Take,2016,The Take (2016),nan,0,4237
Passengers,2008,Passengers (2008),nan,0,4238
Joe Versus the Volcano,1990,Joe Versus the Volcano (1990),nan,0,4239
A Silent Voice: The Movie,2016,A Silent Voice: The Movie (2016),nan,0,4240
The Class,2008,The Class (2008),nan,0,4241
"The Cook, the Thief, His Wife & Her Lover",1989,"The Cook, the Thief, His Wife & Her Lover (1989)",nan,0,4242
Kind Hearts and Coronets,1949,Kind Hearts and Coronets (1949),nan,0,4243
Evita,1996,Evita (1996),nan,0,4244
Anon,2018,Anon (2018),nan,0,4245
Slap Shot,1977,Slap Shot (1977),nan,0,4246
Private Parts,1997,Private Parts (1997),nan,0,4247
Ninja Scroll,1993,Ninja Scroll (1993),nan,0,4248
The Quiet Man,1952,The Quiet Man (1952),nan,0,4249
Confidence,2003,Confidence (2003),nan,0,4250
Prom Night,2008,Prom Night (2008),nan,0,4251
Don,2006,Don (2006),nan,0,4252
The New Guy,2002,The New Guy (2002),nan,0,4253
Oliver!,1968,Oliver! (1968),nan,0,4254
The Haunting,1963,The Haunting (1963),nan,0,4255
Day Watch,2006,Day Watch (2006),nan,0,4256
Undercover Brother,2002,Undercover Brother (2002),nan,0,4257
The Act of Killing,2012,The Act of Killing (2012),nan,0,4258
The Lawnmower Man,1992,The Lawnmower Man (1992),nan,0,4259
Icarus,2017,Icarus (2017),nan,0,4260
Bananas,1971,Bananas (1971),nan,0,4261
Velvet Goldmine,1998,Velvet Goldmine (1998),nan,0,4262
Halloween 5: The Revenge of Michael Myers,1989,Halloween 5: The Revenge of Michael Myers (1989),nan,0,4263
Thick as Thieves,2009,Thick as Thieves (2009),nan,0,4264
Rubber,2010,Rubber (2010),nan,0,4265
Mustang,2015,Mustang (2015),nan,0,4266
Neon Genesis Evangelion: The End of Evangelion,1997,Neon Genesis Evangelion: The End of Evangelion (1997),nan,0,4267
Father of the Bride Part II,1995,Father of the Bride Part II (1995),nan,0,4268
"I Love You, Beth Cooper",2009,"I Love You, Beth Cooper (2009)",nan,0,4269
The Illusionist,2010,The Illusionist (2010),nan,0,4270
Femme Fatale,2002,Femme Fatale (2002),nan,0,4271
Pusher,1996,Pusher (1996),nan,0,4272
Happy New Year,2014,Happy New Year (2014),nan,0,4273
Red Tails,2012,Red Tails (2012),nan,0,4274
Annie,2014,Annie (2014),nan,0,4275
Admission,2013,Admission (2013),nan,0,4276
Exorcist: The Beginning,2004,Exorcist: The Beginning (2004),nan,0,4277
The One I Love,2014,The One I Love (2014),nan,0,4278
Stranger Than Paradise,1984,Stranger Than Paradise (1984),nan,0,4279
Nim's Island,2008,Nim's Island (2008),nan,0,4280
Spice World,1997,Spice World (1997),nan,0,4281
Race,2016,Race (2016),nan,0,4282
The Killer Inside Me,2010,The Killer Inside Me (2010),nan,0,4283
Paul Blart: Mall Cop 2,2015,Paul Blart: Mall Cop 2 (2015),nan,0,4284
Nurse Betty,2000,Nurse Betty (2000),nan,0,4285
The Unbearable Lightness of Being,1988,The Unbearable Lightness of Being (1988),nan,0,4286
Touching the Void,2003,Touching the Void (2003),nan,0,4287
The Hustle,2019,The Hustle (2019),nan,0,4288
Dressed to Kill,1980,Dressed to Kill (1980),nan,0,4289
Bedknobs and Broomsticks,1971,Bedknobs and Broomsticks (1971),nan,0,4290
Drumline,2002,Drumline (2002),nan,0,4291
Now Is Good,2012,Now Is Good (2012),nan,0,4292
Caligula,1979,Caligula (1979),nan,0,4293
Giant,1956,Giant (1956),nan,0,4294
Shattered Glass,2003,Shattered Glass (2003),nan,0,4295
Keeping Mum,2005,Keeping Mum (2005),nan,0,4296
Heist,2001,Heist (2001),nan,0,4297
Uncut Gems,2019,Uncut Gems (2019),nan,0,4298
The Choice,2016,The Choice (2016),nan,0,4299
Curse of Chucky,2013,Curse of Chucky (2013),nan,0,4300
Mary Queen of Scots,2018,Mary Queen of Scots (2018),nan,0,4301
Watership Down,1978,Watership Down (1978),nan,0,4302
Smoke,1995,Smoke (1995),nan,0,4303
The Nines,2007,The Nines (2007),nan,0,4304
Hollywoodland,2006,Hollywoodland (2006),nan,0,4305
Grand Illusion,1937,Grand Illusion (1937),nan,0,4306
Black,2005,Black (2005),nan,0,4307
The Seven Year Itch,1955,The Seven Year Itch (1955),nan,0,4308
Captain Corelli's Mandolin,2001,Captain Corelli's Mandolin (2001),nan,0,4309
So I Married an Axe Murderer,1993,So I Married an Axe Murderer (1993),nan,0,4310
Throw Momma from the Train,1987,Throw Momma from the Train (1987),nan,0,4311
Bug,2006,Bug (2006),nan,0,4312
The Missing,2003,The Missing (2003),nan,0,4313
The Innkeepers,2011,The Innkeepers (2011),nan,0,4314
Straw Dogs,2011,Straw Dogs (2011),nan,0,4315
Splinter,2008,Splinter (2008),nan,0,4316
Deep Rising,1998,Deep Rising (1998),nan,0,4317
May,2002,May (2002),nan,0,4318
The Final Girls,2015,The Final Girls (2015),nan,0,4319
Repo Man,1984,Repo Man (1984),nan,0,4320
Child's Play,2019,Child's Play (2019),nan,0,4321
Jiro Dreams of Sushi,2011,Jiro Dreams of Sushi (2011),nan,0,4322
[REC] 3: Genesis,2012,[REC] 3: Genesis (2012),nan,0,4323
Girls Trip,2017,Girls Trip (2017),nan,0,4324
The Four Feathers,2002,The Four Feathers (2002),nan,0,4325
The Good the Bad the Weird,2008,The Good the Bad the Weird (2008),nan,0,4326
Find Me Guilty,2006,Find Me Guilty (2006),nan,0,4327
Agent Cody Banks,2003,Agent Cody Banks (2003),nan,0,4328
Naked,1993,Naked (1993),nan,0,4329
The Lost Weekend,1945,The Lost Weekend (1945),nan,0,4330
Il Postino,1994,Il Postino (1994),nan,0,4331
Astro Boy,2009,Astro Boy (2009),nan,0,4332
The Cooler,2003,The Cooler (2003),nan,0,4333
Get Carter,2000,Get Carter (2000),nan,0,4334
Veronica,2017,Veronica (2017),nan,0,4335
The Trouble with Harry,1955,The Trouble with Harry (1955),nan,0,4336
English Vinglish,2012,English Vinglish (2012),nan,0,4337
The Cannonball Run,1981,The Cannonball Run (1981),nan,0,4338
The Andromeda Strain,1971,The Andromeda Strain (1971),nan,0,4339
Picnic at Hanging Rock,1975,Picnic at Hanging Rock (1975),nan,0,4340
The Marine,2006,The Marine (2006),nan,0,4341
Murder by Death,1976,Murder by Death (1976),nan,0,4342
Alex Cross,2012,Alex Cross (2012),nan,0,4343
Doc Hollywood,1991,Doc Hollywood (1991),nan,0,4344
Antwone Fisher,2002,Antwone Fisher (2002),nan,0,4345
Jack Frost,1998,Jack Frost (1998),nan,0,4346
24 Hour Party People,2002,24 Hour Party People (2002),nan,0,4347
Snatched,2017,Snatched (2017),nan,0,4348
Arthur and the Invisibles,2006,Arthur and the Invisibles (2006),nan,0,4349
Jersey Boys,2014,Jersey Boys (2014),nan,0,4350
Little Big Man,1970,Little Big Man (1970),nan,0,4351
Igby Goes Down,2002,Igby Goes Down (2002),nan,0,4352
Shutter,2008,Shutter (2008),nan,0,4353
Twilight Zone: The Movie,1983,Twilight Zone: The Movie (1983),nan,0,4354
Near Dark,1987,Near Dark (1987),nan,0,4355
The Shipping News,2001,The Shipping News (2001),nan,0,4356
This Must Be the Place,2011,This Must Be the Place (2011),nan,0,4357
Five Easy Pieces,1970,Five Easy Pieces (1970),nan,0,4358
Fighting,2009,Fighting (2009),nan,0,4359
Grease 2,1982,Grease 2 (1982),nan,0,4360
Drop Dead Gorgeous,1999,Drop Dead Gorgeous (1999),nan,0,4361
Che: Part Two,2008,Che: Part Two (2008),nan,0,4362
The Phantom,1996,The Phantom (1996),nan,0,4363
22 Bullets,2010,22 Bullets (2010),nan,0,4364
Step Up All In,2014,Step Up All In (2014),nan,0,4365
The Laundromat,2019,The Laundromat (2019),nan,0,4366
The Hidden Fortress,1958,The Hidden Fortress (1958),nan,0,4367
Friday the 13th: A New Beginning,1985,Friday the 13th: A New Beginning (1985),nan,0,4368
6 Souls,2010,6 Souls (2010),nan,0,4369
The Vanishing,1988,The Vanishing (1988),nan,0,4370
Fools Rush In,1997,Fools Rush In (1997),nan,0,4371
Dungeons & Dragons,2000,Dungeons & Dragons (2000),nan,0,4372
Sweet and Lowdown,1999,Sweet and Lowdown (1999),nan,0,4373
Friday the 13th Part VIII: Jason Takes Manhattan,1989,Friday the 13th Part VIII: Jason Takes Manhattan (1989),nan,0,4374
ARQ,2016,ARQ (2016),nan,0,4375
Police Academy 5: Assignment: Miami Beach,1988,Police Academy 5: Assignment: Miami Beach (1988),nan,0,4376
Frequently Asked Questions About Time Travel,2009,Frequently Asked Questions About Time Travel (2009),nan,0,4377
Peggy Sue Got Married,1986,Peggy Sue Got Married (1986),nan,0,4378
Looney Tunes: Back in Action,2003,Looney Tunes: Back in Action (2003),nan,0,4379
Dracula 2000,2000,Dracula 2000 (2000),nan,0,4380
Exit Wounds,2001,Exit Wounds (2001),nan,0,4381
Forces of Nature,1999,Forces of Nature (1999),nan,0,4382
Hard Rain,1998,Hard Rain (1998),nan,0,4383
Welcome to the Punch,2013,Welcome to the Punch (2013),nan,0,4384
Man of the Year,2006,Man of the Year (2006),nan,0,4385
The Big Chill,1983,The Big Chill (1983),nan,0,4386
Shortbus,2006,Shortbus (2006),nan,0,4387
The Woodsman,2004,The Woodsman (2004),nan,0,4388
The Santa Clause 3: The Escape Clause,2006,The Santa Clause 3: The Escape Clause (2006),nan,0,4389
Samsara,2011,Samsara (2011),nan,0,4390
Lionheart,1990,Lionheart (1990),nan,0,4391
The Tale of The Princess Kaguya,2013,The Tale of The Princess Kaguya (2013),nan,0,4392
Kidnap,2017,Kidnap (2017),nan,0,4393
White Christmas,1954,White Christmas (1954),nan,0,4394
Flypaper,2011,Flypaper (2011),nan,0,4395
Mesrine Part 1: Killer Instinct,2008,Mesrine Part 1: Killer Instinct (2008),nan,0,4396
Where the Heart Is,2000,Where the Heart Is (2000),nan,0,4397
Choke,2008,Choke (2008),nan,0,4398
Angel-A,2005,Angel-A (2005),nan,0,4399
The War of the Worlds,1953,The War of the Worlds (1953),nan,0,4400
An American Crime,2007,An American Crime (2007),nan,0,4401
Chaos Theory,2008,Chaos Theory (2008),nan,0,4402
The Rookie,2002,The Rookie (2002),nan,0,4403
Instinct,1999,Instinct (1999),nan,0,4404
The Way of the Gun,2000,The Way of the Gun (2000),nan,0,4405
The Last House on the Left,1972,The Last House on the Left (1972),nan,0,4406
Tideland,2005,Tideland (2005),nan,0,4407
Sudden Death,1995,Sudden Death (1995),nan,0,4408
Revenge,2017,Revenge (2017),nan,0,4409
54,1998,54 (1998),nan,0,4410
Osmosis Jones,2001,Osmosis Jones (2001),nan,0,4411
Sierra Burgess Is a Loser,2018,Sierra Burgess Is a Loser (2018),nan,0,4412
The Sweet Hereafter,1997,The Sweet Hereafter (1997),nan,0,4413
Dear Zachary: A Letter to a Son About His Father,2008,Dear Zachary: A Letter to a Son About His Father (2008),nan,0,4414
Land of Mine,2015,Land of Mine (2015),nan,0,4415
The Muppet Movie,1979,The Muppet Movie (1979),nan,0,4416
The Red Violin,1998,The Red Violin (1998),nan,0,4417
Fyre,2019,Fyre (2019),nan,0,4418
The Commitments,1991,The Commitments (1991),nan,0,4419
The Glass House,2001,The Glass House (2001),nan,0,4420
Peter Rabbit,2018,Peter Rabbit (2018),nan,0,4421
C.R.A.Z.Y.,2005,C.R.A.Z.Y. (2005),nan,0,4422
Cargo,2017,Cargo (2017),nan,0,4423
Adore,2013,Adore (2013),nan,0,4424
Welcome to the Dollhouse,1995,Welcome to the Dollhouse (1995),nan,0,4425
The Many Adventures of Winnie the Pooh,1977,The Many Adventures of Winnie the Pooh (1977),nan,0,4426
13 Sins,2014,13 Sins (2014),nan,0,4427
If Only,2004,If Only (2004),nan,0,4428
Can't Buy Me Love,1987,Can't Buy Me Love (1987),nan,0,4429
Drugstore Cowboy,1989,Drugstore Cowboy (1989),nan,0,4430
Housebound,2014,Housebound (2014),nan,0,4431
The Whistleblower,2010,The Whistleblower (2010),nan,0,4432
Hedwig and the Angry Inch,2001,Hedwig and the Angry Inch (2001),nan,0,4433
Killer Klowns from Outer Space,1988,Killer Klowns from Outer Space (1988),nan,0,4434
Julia's Eyes,2010,Julia's Eyes (2010),nan,0,4435
Race 3,2018,Race 3 (2018),nan,0,4436
Ingrid Goes West,2017,Ingrid Goes West (2017),nan,0,4437
Blues Brothers 2000,1998,Blues Brothers 2000 (1998),nan,0,4438
The Visitors,1993,The Visitors (1993),nan,0,4439
True Crime,1999,True Crime (1999),nan,0,4440
The Arrival,1996,The Arrival (1996),nan,0,4441
In the Land of Women,2007,In the Land of Women (2007),nan,0,4442
A Little Princess,1995,A Little Princess (1995),nan,0,4443
The Company You Keep,2012,The Company You Keep (2012),nan,0,4444
P2,2007,P2 (2007),nan,0,4445
After the Wedding,2006,After the Wedding (2006),nan,0,4446
Escape from the Planet of the Apes,1971,Escape from the Planet of the Apes (1971),nan,0,4447
The Peanut Butter Falcon,2019,The Peanut Butter Falcon (2019),nan,0,4448
For Love of the Game,1999,For Love of the Game (1999),nan,0,4449
Leatherheads,2008,Leatherheads (2008),nan,0,4450
Beautiful Girls,1996,Beautiful Girls (1996),nan,0,4451
Altered States,1980,Altered States (1980),nan,0,4452
Goal II: Living the Dream,2007,Goal II: Living the Dream (2007),nan,0,4453
The Breath,2009,The Breath (2009),nan,0,4454
Police Academy: Mission to Moscow,1994,Police Academy: Mission to Moscow (1994),nan,0,4455
Babe: Pig in the City,1998,Babe: Pig in the City (1998),nan,0,4456
Unfinished Business,2015,Unfinished Business (2015),nan,0,4457
Mother's Day,2016,Mother's Day (2016),nan,0,4458
All the Boys Love Mandy Lane,2006,All the Boys Love Mandy Lane (2006),nan,0,4459
Gummo,1997,Gummo (1997),nan,0,4460
Paan Singh Tomar,2012,Paan Singh Tomar (2012),nan,0,4461
Black Christmas,1974,Black Christmas (1974),nan,0,4462
Tora! Tora! Tora!,1970,Tora! Tora! Tora! (1970),nan,0,4463
Dragnet,1987,Dragnet (1987),nan,0,4464
Out of the Past,1947,Out of the Past (1947),nan,0,4465
The Wave,2015,The Wave (2015),nan,0,4466
Melinda and Melinda,2004,Melinda and Melinda (2004),nan,0,4467
The Legend Is Born: Ip Man,2010,The Legend Is Born: Ip Man (2010),nan,0,4468
Vizontele,2001,Vizontele (2001),nan,0,4469
I'm Always Here,2004,I'm Always Here (2004),nan,0,4470
Barbarella,1968,Barbarella (1968),nan,0,4471
K-9,1989,K-9 (1989),nan,0,4472
Coriolanus,2011,Coriolanus (2011),nan,0,4473
Young & Beautiful,2013,Young & Beautiful (2013),nan,0,4474
Sin Nombre,2009,Sin Nombre (2009),nan,0,4475
Once Were Warriors,1994,Once Were Warriors (1994),nan,0,4476
A Walk in the Clouds,1995,A Walk in the Clouds (1995),nan,0,4477
Suspicion,1941,Suspicion (1941),nan,0,4478
Nosferatu the Vampyre,1979,Nosferatu the Vampyre (1979),nan,0,4479
Miracle on 34th Street,1994,Miracle on 34th Street (1994),nan,0,4480
Son of Rambow,2007,Son of Rambow (2007),nan,0,4481
Blood and Bone,2009,Blood and Bone (2009),nan,0,4482
The Final Cut,2004,The Final Cut (2004),nan,0,4483
One Missed Call,2008,One Missed Call (2008),nan,0,4484
The Skulls,2000,The Skulls (2000),nan,0,4485
The Wife,2017,The Wife (2017),nan,0,4486
Pathology,2008,Pathology (2008),nan,0,4487
Rumble Fish,1983,Rumble Fish (1983),nan,0,4488
Double Team,1997,Double Team (1997),nan,0,4489
Single White Female,1992,Single White Female (1992),nan,0,4490
1941,1979,1941 (1979),nan,0,4491
A Long Way Down,2014,A Long Way Down (2014),nan,0,4492
Overboard,2018,Overboard (2018),nan,0,4493
Muppets Most Wanted,2014,Muppets Most Wanted (2014),nan,0,4494
The Odd Couple,1968,The Odd Couple (1968),nan,0,4495
The Edukators,2004,The Edukators (2004),nan,0,4496
Friday the 13th Part VII: The New Blood,1988,Friday the 13th Part VII: The New Blood (1988),nan,0,4497
Sleeping Beauty,2011,Sleeping Beauty (2011),nan,0,4498
The Silence,2019,The Silence (2019),nan,0,4499
The Second Best Exotic Marigold Hotel,2015,The Second Best Exotic Marigold Hotel (2015),nan,0,4500
Oliver Twist,2005,Oliver Twist (2005),nan,0,4501
The Accused,1988,The Accused (1988),nan,0,4502
City Island,2009,City Island (2009),nan,0,4503
In a World...,2013,In a World... (2013),nan,0,4504
Radio Days,1987,Radio Days (1987),nan,0,4505
The Island of Dr. Moreau,1996,The Island of Dr. Moreau (1996),nan,0,4506
Harakiri,1962,Harakiri (1962),nan,0,4507
Mean Creek,2004,Mean Creek (2004),nan,0,4508
The Way of the Dragon,1972,The Way of the Dragon (1972),nan,0,4509
Phantasm,1979,Phantasm (1979),nan,0,4510
Dilwale,2015,Dilwale (2015),nan,0,4511
Kagemusha,1980,Kagemusha (1980),nan,0,4512
M.S. Dhoni: The Untold Story,2016,M.S. Dhoni: The Untold Story (2016),nan,0,4513
Hold the Dark,2018,Hold the Dark (2018),nan,0,4514
Henry: Portrait of a Serial Killer,1986,Henry: Portrait of a Serial Killer (1986),nan,0,4515
*batteries not included,1987,*batteries not included (1987),nan,0,4516
Must Love Dogs,2005,Must Love Dogs (2005),nan,0,4517
New Jack City,1991,New Jack City (1991),nan,0,4518
Priceless,2006,Priceless (2006),nan,0,4519
Harry and the Hendersons,1987,Harry and the Hendersons (1987),nan,0,4520
Love Happens,2009,Love Happens (2009),nan,0,4521
The Grandmaster,2013,The Grandmaster (2013),nan,0,4522
Chasing Mavericks,2012,Chasing Mavericks (2012),nan,0,4523
Toys,1992,Toys (1992),nan,0,4524
"Tomorrow, When the War Began",2010,"Tomorrow, When the War Began (2010)",nan,0,4525
Hop,2011,Hop (2011),nan,0,4526
Hysteria,2011,Hysteria (2011),nan,0,4527
Troll 2,1990,Troll 2 (1990),nan,0,4528
Tales from Earthsea,2006,Tales from Earthsea (2006),nan,0,4529
Big Game,2014,Big Game (2014),nan,0,4530
Survivor,2015,Survivor (2015),nan,0,4531
The Blob,1988,The Blob (1988),nan,0,4532
Bajirao Mastani,2015,Bajirao Mastani (2015),nan,0,4533
Critters,1986,Critters (1986),nan,0,4534
Sleuth,2007,Sleuth (2007),nan,0,4535
Cursed,2005,Cursed (2005),nan,0,4536
Heavy Metal,1981,Heavy Metal (1981),nan,0,4537
Teenage Mutant Ninja Turtles III,1993,Teenage Mutant Ninja Turtles III (1993),nan,0,4538
Boat Trip,2002,Boat Trip (2002),nan,0,4539
The People Under the Stairs,1991,The People Under the Stairs (1991),nan,0,4540
The Edge of Heaven,2007,The Edge of Heaven (2007),nan,0,4541
Upstream Color,2013,Upstream Color (2013),nan,0,4542
Shattered,2007,Shattered (2007),nan,0,4543
Compliance,2012,Compliance (2012),nan,0,4544
Fanaa,2006,Fanaa (2006),nan,0,4545
Cypher,2002,Cypher (2002),nan,0,4546
"Everything, Everything",2017,"Everything, Everything (2017)",nan,0,4547
Sanjuro,1962,Sanjuro (1962),nan,0,4548
2 Days in Paris,2007,2 Days in Paris (2007),nan,0,4549
The Wackness,2008,The Wackness (2008),nan,0,4550
Alvin and the Chipmunks: Chipwrecked,2011,Alvin and the Chipmunks: Chipwrecked (2011),nan,0,4551
Young Guns II,1990,Young Guns II (1990),nan,0,4552
Darkness Falls,2003,Darkness Falls (2003),nan,0,4553
In Your Eyes,2014,In Your Eyes (2014),nan,0,4554
Loving,2016,Loving (2016),nan,0,4555
Superbabies: Baby Geniuses 2,2004,Superbabies: Baby Geniuses 2 (2004),nan,0,4556
Night School,2018,Night School (2018),nan,0,4557
The Machine,2013,The Machine (2013),nan,0,4558
The Secret of Kells,2009,The Secret of Kells (2009),nan,0,4559
A Night at the Opera,1935,A Night at the Opera (1935),nan,0,4560
Coming Soon,2014,Coming Soon (2014),nan,0,4561
Ayla: The Daughter of War,2017,Ayla: The Daughter of War (2017),nan,0,4562
The Garden of Words,2013,The Garden of Words (2013),nan,0,4563
The Stepfather,2009,The Stepfather (2009),nan,0,4564
Halloween: The Curse of Michael Myers,1995,Halloween: The Curse of Michael Myers (1995),nan,0,4565
Gentlemen Prefer Blondes,1953,Gentlemen Prefer Blondes (1953),nan,0,4566
Tyrannosaur,2011,Tyrannosaur (2011),nan,0,4567
Stay Alive,2006,Stay Alive (2006),nan,0,4568
Waar,2013,Waar (2013),nan,0,4569
King of New York,1990,King of New York (1990),nan,0,4570
A Man for All Seasons,1966,A Man for All Seasons (1966),nan,0,4571
The Howling,1981,The Howling (1981),nan,0,4572
Envy,2004,Envy (2004),nan,0,4573
Stalingrad,1993,Stalingrad (1993),nan,0,4574
Deep Red,1975,Deep Red (1975),nan,0,4575
Bubble Boy,2001,Bubble Boy (2001),nan,0,4576
The Three Stooges,2012,The Three Stooges (2012),nan,0,4577
In the Shadow of the Moon,2019,In the Shadow of the Moon (2019),nan,0,4578
Au Revoir les Enfants,1987,Au Revoir les Enfants (1987),nan,0,4579
Jimmy Neutron: Boy Genius,2001,Jimmy Neutron: Boy Genius (2001),nan,0,4580
Armored,2009,Armored (2009),nan,0,4581
Blue Crush,2002,Blue Crush (2002),nan,0,4582
To Have and Have Not,1944,To Have and Have Not (1944),nan,0,4583
Boogeyman,2005,Boogeyman (2005),nan,0,4584
The Adventures of Sharkboy and Lavagirl 3-D,2005,The Adventures of Sharkboy and Lavagirl 3-D (2005),nan,0,4585
Body Heat,1981,Body Heat (1981),nan,0,4586
45 Years,2015,45 Years (2015),nan,0,4587
"Men, Women & Children",2014,"Men, Women & Children (2014)",nan,0,4588
Major Payne,1995,Major Payne (1995),nan,0,4589
The Salton Sea,2002,The Salton Sea (2002),nan,0,4590
Tank Girl,1995,Tank Girl (1995),nan,0,4591
Arif V 216,2018,Arif V 216 (2018),nan,0,4592
Big Nothing,2006,Big Nothing (2006),nan,0,4593
Fitzcarraldo,1982,Fitzcarraldo (1982),nan,0,4594
The Man Who Knew Too Little,1997,The Man Who Knew Too Little (1997),nan,0,4595
Real Genius,1985,Real Genius (1985),nan,0,4596
Life of the Party,2018,Life of the Party (2018),nan,0,4597
Raw Deal,1986,Raw Deal (1986),nan,0,4598
The Black Cauldron,1985,The Black Cauldron (1985),nan,0,4599
White Oleander,2002,White Oleander (2002),nan,0,4600
Conquest of the Planet of the Apes,1972,Conquest of the Planet of the Apes (1972),nan,0,4601
Multiplicity,1996,Multiplicity (1996),nan,0,4602
Feast,2005,Feast (2005),nan,0,4603
Anything Else,2003,Anything Else (2003),nan,0,4604
Thoroughbreds,2017,Thoroughbreds (2017),nan,0,4605
The Way,2010,The Way (2010),nan,0,4606
Krull,1983,Krull (1983),nan,0,4607
The Homesman,2014,The Homesman (2014),nan,0,4608
Smallfoot,2018,Smallfoot (2018),nan,0,4609
Alan Partridge,2013,Alan Partridge (2013),nan,0,4610
And Justice for All,1979,And Justice for All (1979),nan,0,4611
Spartan,2004,Spartan (2004),nan,0,4612
Happythankyoumoreplease,2010,Happythankyoumoreplease (2010),nan,0,4613
Dark Water,2002,Dark Water (2002),nan,0,4614
Cop Car,2015,Cop Car (2015),nan,0,4615
Hunting Season,2010,Hunting Season (2010),nan,0,4616
The Idiots,1998,The Idiots (1998),nan,0,4617
Maximum Overdrive,1986,Maximum Overdrive (1986),nan,0,4618
Unknown,2006,Unknown (2006),nan,0,4619
Goya's Ghosts,2006,Goya's Ghosts (2006),nan,0,4620
Serenity,2019,Serenity (2019),nan,0,4621
Danny Collins,2015,Danny Collins (2015),nan,0,4622
An American in Paris,1951,An American in Paris (1951),nan,0,4623
Victoria & Abdul,2017,Victoria & Abdul (2017),nan,0,4624
Yahsi Bati,2009,Yahsi Bati (2009),nan,0,4625
Interstate 60: Episodes of the Road,2002,Interstate 60: Episodes of the Road (2002),nan,0,4626
The Human Stain,2003,The Human Stain (2003),nan,0,4627
Barbershop,2002,Barbershop (2002),nan,0,4628
The Limey,1999,The Limey (1999),nan,0,4629
Oscar,1991,Oscar (1991),nan,0,4630
Batman,1966,Batman (1966),nan,0,4631
Five Feet Apart,2019,Five Feet Apart (2019),nan,0,4632
Ong Bak 2,2008,Ong Bak 2 (2008),nan,0,4633
Pain and Glory,2019,Pain and Glory (2019),nan,0,4634
Imagine Me & You,2005,Imagine Me & You (2005),nan,0,4635
L.A. Story,1991,L.A. Story (1991),nan,0,4636
School for Scoundrels,2006,School for Scoundrels (2006),nan,0,4637
